,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
3,genetico,0.75,0 days 02:52:27,0.8226,0.8401,0.8226,0.8133,100,0.75,0.3381,0.3328,0.3291
0,genetico,0.1,0 days 00:30:11,0.8011,0.8137,0.8011,0.7921,100,0.1,0.3492,0.3175,0.3333
1,genetico,0.25,0 days 01:03:03,0.7957,0.8233,0.7957,0.7845,100,0.25,0.3333,0.3127,0.354
2,genetico,0.5,0 days 01:58:28,0.7984,0.8158,0.7984,0.7924,100,0.5,0.3484,0.3238,0.3278
3,genetico,0.75,0 days 02:52:39,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
0,genetico,0.1,0 days 00:33:04,0.8763,0.88,0.8763,0.8734,100,0.1,0.369,0.3492,0.2817
1,genetico,0.25,0 days 01:10:30,0.8575,0.8751,0.8575,0.8482,100,0.25,0.354,0.3317,0.3143
2,genetico,0.5,0 days 02:11:26,0.8306,0.8503,0.8306,0.823,100,0.5,0.3357,0.323,0.3413
3,genetico,0.75,0 days 03:11:03,0.8253,0.8323,0.8253,0.8215,100,0.75,0.3466,0.3339,0.3196
0,genetico,0.1,0 days 00:36:55,0.8199,0.8265,0.8199,0.8116,100,0.1,0.3929,0.254,0.3532
1,genetico,0.25,0 days 01:42:36,0.7984,0.8228,0.7984,0.7923,100,0.25,0.3317,0.3254,0.3429
2,genetico,0.5,0 days 03:53:27,0.8172,0.8329,0.8172,0.8123,100,0.5,0.3262,0.3294,0.3444
3,genetico,0.75,0 days 04:44:00,0.8253,0.8431,0.8253,0.8206,100,0.75,0.3339,0.3328,0.3333
0,genetico,0.1,0 days 00:36:22,0.8253,0.8313,0.8253,0.8265,100,0.1,0.3175,0.3254,0.3571
1,genetico,0.25,0 days 01:34:03,0.7984,0.818,0.7984,0.7914,100,0.25,0.3222,0.3397,0.3381
2,genetico,0.5,0 days 04:03:46,0.8118,0.8289,0.8118,0.8052,100,0.5,0.3246,0.3524,0.323
3,genetico,0.75,0 days 04:46:17,0.836,0.8481,0.836,0.8311,100,0.75,0.3317,0.3349,0.3333
